"epoch","set","loss","captcha.acc"
34,"valid",0.0500488020479679,0.835
35,"train",0.00864575654268265,0.993
35,"valid",0.0448858194053173,0.855
36,"train",0.00810941715724766,0.995
36,"valid",0.0491807527840138,0.855
37,"train",0.00717933221720159,0.997
37,"valid",0.0453621592372656,0.865
38,"train",0.00818257143720984,0.993
38,"valid",0.0449343733489513,0.875
39,"train",0.00692290463484824,0.992
39,"valid",0.0452896848320961,0.87
40,"train",0.00619280853308737,0.996
40,"valid",0.0434930395334959,0.87
41,"train",0.00595183558762073,0.996
41,"valid",0.0464334569871426,0.875
42,"train",0.00717484292574227,0.994
42,"valid",0.0488993965089321,0.87
43,"train",0.00618099329993129,0.994
43,"valid",0.0499355748295784,0.87
44,"train",0.00591105661354959,0.999
44,"valid",0.0467500019818544,0.85
45,"train",0.00550286748446524,0.996
45,"valid",0.0521363563835621,0.85
46,"train",0.00460314225405455,0.997
46,"valid",0.050483388453722,0.875
47,"train",0.00664886409416795,0.997
47,"valid",0.0441962346434593,0.87
48,"train",0.00570800238288939,0.998
48,"valid",0.0451944410800934,0.865
49,"train",0.00555096358992159,0.997
49,"valid",0.0525122202932835,0.875
50,"train",0.00488435852341354,0.995
50,"valid",0.0475399374961853,0.88
51,"train",0.00453327877447009,0.997
51,"valid",0.0441921725869179,0.865
52,"train",0.00529413435142487,0.996
52,"valid",0.0417175997048616,0.865
53,"train",0.00447142278775573,0.997
53,"valid",0.0431142754852772,0.86
54,"train",0.00527949794195592,0.997
54,"valid",0.0424637541174889,0.875
55,"train",0.00488788953050971,0.998
55,"valid",0.0458088248968124,0.88
56,"train",0.00473960601259023,0.998
56,"valid",0.0402817785739899,0.885
57,"train",0.00457638891879469,0.998
57,"valid",0.0428314223885536,0.905
58,"train",0.00530928751919419,0.995
58,"valid",0.0447527315467596,0.885
59,"train",0.00525414067320526,0.997
59,"valid",0.0411636803299189,0.89
60,"train",0.00475036854855716,0.997
60,"valid",0.0413311533629894,0.895
61,"train",0.00475077727809548,0.997
61,"valid",0.0443056169897318,0.855
62,"train",0.00491615175735205,0.998
62,"valid",0.0464434638619423,0.89
63,"train",0.00512308955192566,0.997
63,"valid",0.0464398294687271,0.875
64,"train",0.0042399034416303,0.999
64,"valid",0.0503462579101324,0.875
65,"train",0.00418526192195713,0.998
65,"valid",0.0469768494367599,0.88
66,"train",0.00415646408684552,0.997
66,"valid",0.0464889496564865,0.88
67,"train",0.0038995071593672,0.995
67,"valid",0.0479499660432339,0.88
68,"train",0.00342404762748629,0.998
68,"valid",0.0476005908101797,0.87
69,"train",0.00410096276551485,0.996
69,"valid",0.0465605840086937,0.89
70,"train",0.00417132417205721,0.999
70,"valid",0.0490890715271235,0.865
71,"train",0.00318880706094205,1
71,"valid",0.0460822217166424,0.885
72,"train",0.00360480184666812,0.998
72,"valid",0.0463083203881979,0.88
73,"train",0.00266113620018586,1
73,"valid",0.0449314165860415,0.87
74,"train",0.0036394411791116,0.998
74,"valid",0.0477100603282452,0.88
75,"train",0.00376897155772895,0.999
75,"valid",0.0510627217590809,0.87
76,"train",0.00312180013861507,0.998
76,"valid",0.0456916932016611,0.87
77,"train",0.00324863449204713,1
77,"valid",0.0432740364223719,0.9
